Serial No.,Chance of Admit
21,0.64
39,0.52
3,0.72
374,0.79
247,0.72
109,0.93
318,0.58
18,0.65
233,
288,0.89
73,0.93
356,0.73
129,0.84
19,0.63
106,0.69
258,0.78
81,0.5
93,0.34
372,0.89
368,0.57
29,0.46
274,0.52
182,0.71
344,0.59
266,0.71
348,0.42
398,0.91
382,
325,0.67
151,0.93
40,0.48
378,0.47
26,0.94
306,0.74
108,0.91
7,0.75
383,0.82
160,0.52
238,0.86
173,0.86
118,0.45
65,0.52
388,0.53
202,0.72
240,0.59
376,0.38
270,0.77
295,
11,0.52
319,0.79
317,0.54
334,0.71
343,0.58
228,0.64
23,0.94
329,0.8
139,0.8
399,0.67
68,0.57
8,0.68
196,0.78
216,0.93
97,0.48
213,0.95
209,0.64
101,0.71
32,0.74
254,0.93
284,0.8
234,0.64
88,0.66
304,0.73
156,0.77
298,0.86
249,0.8
77,0.74
395,0.89
104,0.57
253,0.71
96,0.42
20,0.62
190,0.88
243,0.7
211,0.79
384,0.62
260,0.9
45,0.91
204,0.97
189,0.93
359,0.7
150,0.79
303,0.65
91,0.64
354,0.63
13,0.78
48,0.89
132,0.77
165,0.81
85,0.94
164,0.68
299,0.9
79,0.44
14,0.62
115,0.59
63,0.54
205,0.69
256,0.79
263,0.7
381,0.78
345,0.47
265,0.75
235,0.91
327,0.63
229,0.71
241,0.6
1,0.92
114,0.72
83,0.92
272,0.54
310,0.7
76,0.72
140,0.78
90,0.74
24,0.95
92,0.38
125,0.57
37,0.64
144,
339,
326,0.81
367,0.74
61,0.48
35,0.94
323,0.72
314,0.67
22,0.7
237,0.85
287,0.92
230,0.82
184,0.75
379,0.56
206,0.57
80,0.46
70,0.78
375,0.39
107,0.87
364,0.69
4,0.8
390,0.76
280,0.67
137,0.76
187,0.84
262,0.71
166,0.78
281,0.68
59,0.36
192,0.87
269,0.83
145,0.8
50,0.78
370,0.67
179,0.72
207,0.63
351,0.74
2,
337,0.72
236,0.88
218,0.85
208,0.66
55,0.7
51,0.76
16,0.54
396,0.82
82,0.96
66,0.55
355,0.59
78,0.64
300,0.71
53,0.78
386,0.96
392,0.71
162,0.53
6,0.9
89,0.64
200,0.72
307,0.79
309,0.69
394,0.77
332,0.73
152,0.94
301,0.62
275,0.58
180,0.73
30,0.54
47,0.86
171,0.68
128,0.78
225,0.67
369,0.51
389,0.49
387,0.46
255,0.85
87,0.72
285,0.94
365,0.77
267,0.72
94,0.44
313,0.78
279,0.66
308,0.8
362,0.93
119,0.47
176,0.85
110,0.68
248,0.71
124,0.61
297,0.76
99,0.9
358,
360,0.81
10,0.45
245,0.63
214,0.96
321,0.75
172,
158,0.65
277,0.89
146,0.81
226,0.61
185,0.72
102,0.64
71,0.94
377,0.34
12,0.84
64,0.56
58,
183,0.68
371,0.72
273,
264,0.7
391,
276,0.78
33,0.91
5,0.65
188,0.93
338,0.94
363,0.91
361,0.85
224,0.71
349,0.57
259,0.77
290,0.79
131,0.96
261,0.87
393,0.84
242,0.65
340,0.81
121,0.94
335,0.73
123,0.57
141,0.84
56,0.64
330,0.43
346,0.49
57,0.64
169,0.64
294,0.64
15,0.61
60,0.42
155,0.8
52,0.56
252,
246,0.81
138,0.71
193,0.86
86,0.76
198,0.73
136,
127,0.85
268,0.73
315,0.66
197,0.73
373,0.95
148,0.83
72,0.96
38,0.58
333,0.75
194,0.94
143,0.92
320,0.8
357,0.79
291,0.58
174,0.89
25,0.97
322,0.73
223,0.76
257,0.76
161,0.57
366,0.86
67,0.61
217,0.91
111,0.61
215,0.94
34,0.9
154,0.79
305,0.62
117,0.56
36,0.88
147,0.75
342,0.79
195,0.77
133,0.71
302,0.66
350,0.62
75,0.74
312,0.84
84,0.92
170,0.65
120,0.71
244,0.76
135,0.89
328,0.69
122,0.94
324,0.62
222,0.75
31,0.65
286,0.93
203,0.97
153,0.86
43,0.53
9,0.5
400,0.95
142,0.9
95,0.36
201,0.73
28,0.44
353,0.64
100,0.79
157,0.7
163,0.67
296,0.68
42,0.49
159,0.61
282,0.8
311,0.76
347,0.47
331,0.8
116,0.66
113,0.62
44,0.87
126,0.64
316,
149,0.96
62,0.47
397,
231,0.73
293,0.56
227,0.63
74,0.84
168,0.64
17,0.66
175,0.87
49,0.82
250,0.77
167,0.65
220,0.74
103,0.62
210,0.68
177,0.9
98,0.86
186,0.89
199,0.7
130,0.92
221,0.76
69,0.68
283,0.81
336,0.83
251,0.74
191,0.9
41,0.46
232,0.74
212,0.82
341,0.75
289,0.82
27,0.76
239,0.7
54,0.72
352,0.73
219,
134,0.79
112,0.69
181,0.71
46,0.88
105,0.74
385,0.96
278,0.7
271,0.72
380,0.71
292,0.56
178,0.82
